tourney_id,alias,source
1971-421,Montreal / Toronto,tour
1971-422,Cincinnati,tour
1971-423,Los Angeles,tour
1971-424,Berkeley,tour
1971-425,Barcelona Wct,tour
1971-426,Johannesburg,tour
1971-429,Stockholm Open,tour
1971-430,Wembley,tour
1971-436,Charlotte,tour
1971-520,Roland Garros,tour
1971-540,Wimbledon,tour
1971-560,Us Open,tour
1971-580,Australian Open,tour
1971-605,Masters,tour
1971-610,Dallas,tour
1971-6120,Nice,tour
1971-653,Fort Worth Wct,tour
1971-654,Sacramento,tour
1971-657,Hampton,tour
1971-663,Louisville Wct,tour
1971-681,Miami Wct,tour
1971-6832,Midland,tour
1971-6834,Senigallia,tour
1971-707,South Orange,tour
1971-713,Hobart,tour
1971-717,Indianapolis,tour
1971-724,Hilton Head,tour
1971-802,Richmond,tour
1971-818,Chicago Wct,tour
1971-9204,Kingston,tour
1971-9205,Boston,tour
1971-9237,Pensacola,tour
1971-9238,Kansas City,tour
1971-9240,Berlin,tour
1971-D001,Davis Cup Sam Sf: Chi Vs Arg,tour
1971-D002,Davis Cup Sam Qf: Uru Vs Arg,tour
1971-D003,Davis Cup Ame Qf: Hkg Vs Aus,tour
1971-D004,Davis Cup Ame Sf: Ina Vs Aus,tour
1971-D005,Davis Cup Ame F: Jpn Vs Aus,tour
1971-D006,Davis Cup Eur Qf: Frg Vs Aut,tour
1971-D007,Davis Cup Eur R1: Gre Vs Bel,tour
1971-D008,Davis Cup Eur Qf: Bel Vs Urs,tour
1971-D009,Davis Cup Sam Qf: Bra Vs Bol,tour
1971-D010,Davis Cup Sam F: Chi Vs Bra,tour
1971-D011,Davis Cup Sam Sf: Bra Vs Ecu,tour
1971-D012,Davis Cup Ame F: Mex Vs Bra,tour
1971-D013,Davis Cup Eur F: Bra Vs Rou,tour
1971-D014,Davis Cup Eur Sf: Bra Vs Tch,tour
1971-D015,Davis Cup Eur R1: Ita Vs Bul,tour
1971-D016,Davis Cup Ame Sf: Mex Vs Can,tour
1971-D017,Davis Cup Ame Sf: Car Vs Nzl,tour
1971-D018,Davis Cup Sam Qf: Col Vs Chi,tour
1971-D019,Davis Cup Eur R1: Den Vs Urs,tour
1971-D020,Davis Cup Sam Qf: Ecu Vs Ven,tour
1971-D021,Davis Cup Eur R1: Egy Vs Tch,tour
1971-D022,Davis Cup Eur Sf: Esp Vs Fra,tour
1971-D023,Davis Cup Eur Qf: Sui Vs Esp,tour
1971-D024,Davis Cup Eur F: Tch Vs Esp,tour
1971-D025,Davis Cup Eur Qf: Fra Vs Fin,tour
1971-D026,Davis Cup Eur R1: Fin Vs Irl,tour
1971-D027,Davis Cup Eur R1: Swe Vs Fra,tour
1971-D028,Davis Cup Eur R1: Yug Vs Gbr,tour
1971-D029,Davis Cup Eur Sf: Frg Vs Hun,tour
1971-D030,Davis Cup Eur F: Rou Vs Frg,tour
1971-D031,Davis Cup Eur Qf: Hun Vs Lux,tour
1971-D032,Davis Cup Eur R1: Hun Vs Pol,tour
1971-D033,Davis Cup Eur F: Jpn Vs Ind,tour
1971-D035,Davis Cup Wg Sf: Ind Vs Rou,tour
1971-D036,Davis Cup Wg Sf: Sri Vs Ind,tour
1971-D037,Davis Cup Eur R1: Isr Vs Nor,tour
1971-D038,Davis Cup Eur Qf: Isr Vs Rou,tour
1971-D039,Davis Cup Eur Qf: Yug Vs Ita,tour
1971-D040,Davis Cup Ame Sf: Phi Vs Jpn,tour
1971-D041,Davis Cup Afr Qf: Mex Vs Kor,tour
1971-D042,Davis Cup Eur R1: Lux Vs Mon,tour
1971-D043,Davis Cup G2 Sf: Pak Vs Mas,tour
1971-D044,Davis Cup Ame F: Mex Vs Nzl,tour
1971-D045,Davis Cup Eur R1: Rou Vs Ned,tour
1971-D046,Davis Cup Eur Qf: Tch Vs Por,tour
1971-D047,Davis Cup Eur R1: Por Vs Tur,tour
1971-D048,Davis Cup Wg Cr: Usa Vs Rou,tour
1971-D049,Davis Cup Eur Sf: Rou Vs Yug,tour
1971-D050,Davis Cup Eur Sf: Tch Vs Urs,tour
1971-2016,London 3,tour
1971-583,Manchester,tour
1971-6817,San Juan,tour
1971-6818,St. Petersburg,tour
1971-7310,Beckenham,tour
1971-9211,Washington 1,tour
1971-9289,Champions Classic,tour
1971-9341,Brisbane,tour
1971-338,Sydney Outdoor,tour
1971-316,Bastad,tour
1971-2010,Paris,tour
1972-2016,London,tour
1972-2022,Roanoke,tour
1972-2026,Madrid,tour
1972-2029,Dublin,tour
1972-2030,Merion,tour
1972-2036,Omaha,tour
1972-2043,Seattle,tour
1972-2044,Quebec Wct,tour
1972-2047,Jacksonville,tour
1972-2048,Vancouver Wct,tour
1972-2049,Eastbourne,tour
1972-2051,Tanglewood,tour
1972-2052,Montreal Wct,tour
1972-2053,Alamo Wct,tour
1972-2054,Essen Wct,tour
1972-2056,Rome Wct,tour
1972-2057,Los Angeles,tour
1972-2058,New York,tour
1972-2061,Des Moines,tour
1972-2062,Kansas City,tour
1972-2064,London Indoor,tour
1972-2066,Macon,tour
1972-254,Johannesburg-2,tour
1972-301,Auckland,tour
1972-302,Toronto Wct,tour
1972-303,Buenos Aires,tour
1972-311,Queen'S Club,tour
1972-313,Bristol,tour
1972-314,Gstaad,tour
1972-316,Bastad,tour
1972-319,Kitzbuhel,tour
1972-320,Cleveland Wct,tour
1972-326,Brisbane,tour
1972-338,Sydney,tour
1972-343,Columbus,tour
1972-344,Caracas,tour
1972-347,Bournemouth,tour
1972-355,Salisbury,tour
1972-389,Denver Wct,tour
1972-401,Philadelphia Wct,tour
1972-405,Houston Wct,tour
1972-406,Brussels,tour
1972-407,Rotterdam Wct,tour
1972-410,Monte Carlo,tour
1972-413,Las Vegas Wct,tour
1972-414,Hamburg,tour
1972-416,Rome,tour
1972-417,Boston Wct,tour
1972-418,Washington Wct,tour
1972-419,Indianapolis,tour
1972-421,Montreal / Toronto,tour
1972-422,Cincinnati,tour
1972-423,Los Angeles Wct,tour
1972-424,Albany,tour
1972-425,Barcelona,tour
1972-429,Stockholm,tour
1972-436,Charlotte Wct,tour
1972-508,Gothenberg Wct,tour
1972-520,Roland Garros,tour
1972-540,Wimbledon,tour
