tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date
1968-9348,Mexico City,,A,,19680318
1968-T101,Bombay,Clay,A,,19671228
1968-T102,Calcutta,,A,,19671228
1968-T103,Port Elizabeth,,A,,19680102
1968-T104,San Juan,,A,,19680108
1968-T105,Bremen Indoors,Carpet,A,,19680122
1968-T107,Pittsburgh Indoors,Carpet,A,,19680210
1968-T108,Concord Indoors,Carpet,A,,19680226
1968-T109,Munich Indoors,Carpet,A,,19680228
1968-T110,Long Island Indoors,Carpet,A,,19680302
1968-T111,Phoenix,,A,,19680311
1968-T112,Cannes,,A,,19680318
1968-T113,Madrid,Clay,A,,19680415
1968-T114,Los Angeles SoCal Chps,,A,,19680506
1968-T115,Oakland,,A,,19680722
1968-T116,La Coruna,Clay,A,,19680725
1968-T119,Viareggio,Clay,A,,19680812
1968-T120,Ortisei,Clay,A,,19680819
1968-T121,Aberavon,Carpet,A,,19681028
1968-T125,Barcelona Nationals,Clay,A,,19681111
1968-T130,Woodside,,A,,19680121
1968-T131,Helsinki,,A,,19680606
1968-T132,Saltsjoebaden,,A,,19680610
1968-T133,San Antonio Collegiate,,A,,19680622
1968-T134,King's Cup 2R,Carpet,A,,19680710
1968-T137,Montana Vermala,,A,,19680801
1968-T139,Senigallia,,A,,19680811
1968-T140,Scheveningen,Clay,A,,19680818
1968-T142,Quebec City,,A,,19680901
1968-T143,Bucharest,,A,,19680901
1968-T144,Mamaia,,A,,19680908
1968-T145,Las Vegas,,A,,19680913
1968-T146,Belgrade,Clay,A,,19680916
1968-T150,Madrid Real,,A,,19681001
1968-T160,Kings Cup SF,Carpet,A,,19681208
1968-T161,Kings Cup Final,Carpet,A,,19681208
1968-T162,Valencia,,A,,19690101
1968-T166,Cannes Chps,,A,,19680415
1968-T167,Hanau,,A,,19680822
1968-T168,Narberth,Hard,A,,19681002
1969-2029,Dublin,Grass,A,32,19690707
1969-2058,New York,Carpet,A,32,19690324
1969-243,Perth,Grass,A,32,19681230
1969-260,Durban,Hard,A,64,19690414
1969-301,Auckland,Grass,A,32,19690129
1969-303,Buenos Aires,Clay,A,32,19691111
1969-311,London / Queen's Club,Grass,A,128,19690616
1969-314,Gstaad,Clay,A,32,19690727
1969-317,Hilversum,Hard,A,32,19690803
1969-338,Sydney,Grass,A,32,19690113
1969-3936,Melbourne,Grass,A,8,19690106
1969-3938,Bournemouth,Clay,A,8,19690428
1969-3939,Caracas,Clay,A,8,19690303
1969-3940,Barranquilla,Clay,A,8,19690310
1969-3942,Bristol,Grass,A,8,19690609
1969-3944,Bastad,Clay,A,8,19690707
1969-401,Philadelphia WCT,Carpet,A,32,19690205
1969-406,Brussels,Clay,A,32,19690512
1969-410,Monte Carlo,Clay,A,64,19690415
1969-413,Las Vegas,Hard,A,32,19691006
1969-416,Rome,Clay,M,128,19690521
1969-417,Boston,Grass,A,128,19690816
1969-418,Washington,Clay,A,64,19690707
1969-422,Cincinnati,Clay,M,96,19690714
1969-423,Los Angeles,Hard,A,64,19690920
1969-425,Barcelona,Clay,A,64,19690512
1969-426,Johannesburg,Hard,A,128,19690404
1969-429,Stockholm Open,Hard,A,32,19691124
1969-430,Wembley,Carpet,A,32,19691117
1969-520,Roland Garros,Clay,G,128,19690528
1969-540,Wimbledon,Grass,G,128,19690623
1969-560,US Open,Grass,G,128,19690827
1969-580,Australian Open,Grass,G,64,19690120
1969-717,Indianapolis,Clay,A,64,19690721
1969-D001,Davis Cup SAM QF: CHI vs ARG,,D,4,19690502
1969-D002,Davis Cup AME F: MEX vs AUS,Clay,D,4,19690523
1969-D003,Davis Cup EUR QF: ITA vs AUT,Clay,D,4,19690523
1969-D004,Davis Cup EUR R1: NOR vs AUT,Clay,D,4,19690509
1969-D005,Davis Cup EUR R1: ITA vs BEL,Clay,D,4,19690509
1969-D006,Davis Cup SAM F: CHI vs BRA,,D,4,19690614
1969-D007,Davis Cup SAM SF: COL vs BRA,,D,4,19690516
1969-D008,Davis Cup EUR SF: GBR vs BRA,Grass,D,4,19690731
1969-D009,Davis Cup AME F: BRA vs MEX,Clay,D,4,19690719
1969-D010,Davis Cup EUR R1: MON vs BUL,,D,4,19690509
1969-D011,Davis Cup EUR R1: NED vs CAN,Clay,D,4,19690509
1969-D012,Davis Cup EUR QF: URS vs CAN,Clay,D,4,19690523
1969-D013,Davis Cup AME SF: CAR vs MEX,,D,4,19690503
1969-D014,Davis Cup SAM SF: CHI vs ECU,Clay,D,4,19690516
1969-D015,Davis Cup SAM QF: VEN vs COL,,D,4,19690503
1969-D016,Davis Cup EUR R1: DEN vs TCH,Clay,D,4,19690509
1969-D017,Davis Cup EUR PR: EGY vs LIB,,D,4,19690328
1969-D018,Davis Cup EUR R1: ROU vs EGY,Clay,D,4,19690509
1969-D019,Davis Cup EUR SF: ESP vs ROU,Clay,D,4,19690613
1969-D020,Davis Cup EUR QF: YUG vs ESP,Clay,D,4,19690523
1969-D021,Davis Cup EUR R1: ESP vs RHO,Clay,D,4,19690504
1969-D022,Davis Cup EUR R1: FIN vs SWE,Clay,D,4,19690509
1969-D023,Davis Cup EUR R1: YUG vs FRA,,D,4,19690510
1969-D024,Davis Cup EUR SF: GBR vs FRG,Grass,D,4,19690612
1969-D025,Davis Cup EUR QF: GBR vs IRL,Grass,D,4,19690522
1969-D026,Davis Cup EUR F: GBR vs ROU,Grass,D,4,19690814
1969-D027,Davis Cup EUR F: GBR vs RSA,Grass,D,4,19690717
1969-D028,Davis Cup EUR R1: SUI vs GBR,Clay,D,4,19690509
1969-D029,Davis Cup EUR R1: FRG vs NZL,,D,4,19690509
1969-D030,Davis Cup EUR QF: SWE vs FRG,Clay,D,4,19690524
1969-D031,Davis Cup EUR R1: GRE vs URS,,D,4,19690509
1969-D032,Davis Cup EUR R1: POL vs HUN,,D,4,19690509
1969-D033,Davis Cup WG QF: INA vs PHI,,D,4,19690328
1969-D034,Davis Cup EUR F: IND vs JPN,,D,4,19690510
1969-D035,Davis Cup G1 SF: MAS vs IND,,D,4,19690301
1969-D036,Davis Cup WG SF: ROU vs IND,Clay,D,4,19690801
1969-D037,Davis Cup WG F: SRI vs IND,Clay,D,4,19690325
1969-D038,Davis Cup EUR R1: RSA vs IRI,,D,4,19690424
1969-D039,Davis Cup EUR R1: IRL vs LUX,,D,4,19690509
1969-D040,Davis Cup EUR R1: POR vs ISR,Clay,D,4,19690509
1969-D041,Davis Cup EUR QF: ROU vs ISR,Clay,D,4,19690522
1969-D043,Davis Cup EUR SF: URS vs ITA,,D,4,19690613
1969-D044,Davis Cup AME SF: JPN vs PHI,,D,4,19690418
1969-D046,Davis Cup G1 SF: KOR vs VIE,,D,4,19690404
1969-D047,Davis Cup EUR QF: MON vs TCH,Clay,D,4,19690523
1969-D049,Davis Cup EUR F: ROU vs URS,Clay,D,4,19690718
1969-D050,Davis Cup WG CR: USA vs ROU,Hard,D,4,19690919
1969-2016,London-4,Carpet,A,8,19691113
1969-2030,Haverford,Grass,A,64,19690811
1969-2036,Omaha,Hard,A,16,19690126
1969-2047,Jacksonville,Clay,A,32,19690402
1969-2066,Macon,Carpet,A,64,19690217
1969-308,Munich,Clay,A,64,19690721
1969-319,Kitzbuhel,Clay,A,64,19690811
1969-332,Cologne,Hard,A,8,19691018
1969-342,Aix-en-Provence,Clay,A,64,19690714
1969-355,Salisbury,Hard,A,64,19690210
1969-388,Dallas,Carpet,A,32,19690421
1969-389,Denver,Hard,A,6,19691017
1969-405,Houston,Clay,A,32,19690414
1969-412,Atlanta,Hard,A,8,19690912
1969-414,Hamburg,Clay,A,64,19690811
1969-421,Toronto,Clay,M,64,19690804
1969-424,Berkeley,Hard,A,64,19690929
1969-436,Charlotte,Clay,A,32,19690407
1969-652,St. Louis,Hard,A,4,19690804
1969-653,Fort Worth,Hard,A,16,19690813
1969-654,Sacramento,Hard,A,16,19690526
1969-681,Hollywood,Clay,A,16,19690213
1969-6811,Los Angeles 1,Carpet,A,16,19690303
1969-6817,San Juan,Hard,A,64,19690331
1969-6818,St. Petersburg,Clay,A,64,19690317
1969-6832,Midland,Hard,A,4,19691003
1969-6833,Tucson,Hard,A,8,19691003
1969-707,South Orange,Grass,A,64,19690728
